label_file,read_status,horizon_sec,trade_date,exchange,symbol,split_role,rows,missing_required_columns,forbidden_columns,bucket_monotonic_violations,duplicate_bucket_rows,split_role_mismatch_rows,test_role_rows,label_available_fraction,audit_pass
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=WIPRO\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,WIPRO,train,2626,,,0,0,0,0,0.9996191926884996,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=ADANIPORTS\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,ADANIPORTS,train,5554,,,0,0,0,0,0.999819949585884,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=AXISBANK\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,AXISBANK,train,7447,,,0,0,0,0,0.9998657177386867,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=BAJAJ-AUTO\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,BAJAJ-AUTO,train,5050,,,0,0,0,0,0.9998019801980198,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=BANKBEES\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,BANKBEES,train,8886,,,0,0,0,0,0.9998874634256133,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=BHARTIARTL\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,BHARTIARTL,train,9412,,,0,0,0,0,0.9998937526561836,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=BPCL\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,BPCL,train,4697,,,0,0,0,0,0.9997870981477539,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=BRITANNIA\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,BRITANNIA,train,4230,,,0,0,0,0,0.9997635933806147,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=CIPLA\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,CIPLA,train,4887,,,0,0,0,0,0.9997953754859832,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=DRREDDY\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,DRREDDY,train,9054,,,0,0,0,0,0.9998895515794124,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=GOLDBEES\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,GOLDBEES,train,6408,,,0,0,0,0,0.9998439450686641,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=HCLTECH\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,HCLTECH,train,5478,,,0,0,0,0,0.9998174516246805,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=HDFCBANK\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,HDFCBANK,train,9420,,,0,0,0,0,0.9998938428874734,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=HINDUNILVR\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,HINDUNILVR,train,6947,,,0,0,0,0,0.9998560529725061,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=ICICIBANK\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,ICICIBANK,train,9153,,,0,0,0,0,0.9998907462034305,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=INFY\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,INFY,train,7567,,,0,0,0,0,0.9998678472313995,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=ITBEES\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,ITBEES,train,3873,,,0,0,0,0,0.9997418022205009,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=ITC\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,ITC,train,7310,,,0,0,0,0,0.9998632010943912,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=JUNIORBEES\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,JUNIORBEES,train,8590,,,0,0,0,0,0.99988358556461,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=KOTAKBANK\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,KOTAKBANK,train,8944,,,0,0,0,0,0.9998881932021467,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=LT\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,LT,train,9073,,,0,0,0,0,0.9998897828722584,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=M&M\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,M&M,train,7705,,,0,0,0,0,0.999870214146658,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=MARUTI\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,MARUTI,train,7380,,,0,0,0,0,0.9998644986449865,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=NESTLEIND\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,NESTLEIND,train,4455,,,0,0,0,0,0.9997755331088665,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=NIFTYBEES\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,NIFTYBEES,train,8020,,,0,0,0,0,0.9998753117206982,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=ONGC\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,ONGC,train,5783,,,0,0,0,0,0.9998270793705689,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=RELIANCE\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,RELIANCE,train,9018,,,0,0,0,0,0.9998891106675538,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=SBIN\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,SBIN,train,7834,,,0,0,0,0,0.999872351289252,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=SUNPHARMA\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,SUNPHARMA,train,7323,,,0,0,0,0,0.9998634439437389,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=TCS\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,TCS,train,7970,,,0,0,0,0,0.9998745294855709,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=TECHM\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,TECHM,train,4930,,,0,0,0,0,0.9997971602434077,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=ULTRACEMCO\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,ULTRACEMCO,train,3980,,,0,0,0,0,0.999748743718593,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=WIPRO\receive_flow_labels.parquet,ok,1,2026-07-09,NSE,WIPRO,train,5789,,,0,0,0,0,0.999827258593885,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=ADANIPORTS\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,ADANIPORTS,train,9547,,,0,0,0,0,0.9998952550539436,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=AXISBANK\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,AXISBANK,train,10802,,,0,0,0,0,0.9999074245510091,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=BAJAJ-AUTO\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,BAJAJ-AUTO,train,9728,,,0,0,0,0,0.9998972039473685,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=BANKBEES\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,BANKBEES,train,9231,,,0,0,0,0,0.9997833387498646,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=BHARTIARTL\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,BHARTIARTL,train,11366,,,0,0,0,0,0.9999120183001936,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=BPCL\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,BPCL,train,6759,,,0,0,0,0,0.9998520491196923,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=BRITANNIA\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,BRITANNIA,train,6030,,,0,0,0,0,0.9998341625207297,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=CIPLA\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,CIPLA,train,7908,,,0,0,0,0,0.999873545776429,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=DRREDDY\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,DRREDDY,train,13142,,,0,0,0,0,0.9999239080809618,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=GOLDBEES\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,GOLDBEES,train,9150,,,0,0,0,0,0.9997814207650273,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=HCLTECH\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,HCLTECH,train,14318,,,0,0,0,0,0.9999301578432742,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=HDFCBANK\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,HDFCBANK,train,15044,,,0,0,0,0,0.9999335283169369,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=HINDUNILVR\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,HINDUNILVR,train,8662,,,0,0,0,0,0.9998845532209651,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=ICICIBANK\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,ICICIBANK,train,11237,,,0,0,0,0,0.9999110082762304,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=INFY\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,INFY,train,15211,,,0,0,0,0,0.9999342581026889,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=ITBEES\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,ITBEES,train,6824,,,0,0,0,0,0.9997069167643611,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=ITC\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,ITC,train,11085,,,0,0,0,0,0.9999097880018042,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=JUNIORBEES\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,JUNIORBEES,train,13254,,,0,0,0,0,0.9998491021578392,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=KOTAKBANK\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,KOTAKBANK,train,10165,,,0,0,0,0,0.9999016232169208,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=LT\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,LT,train,10641,,,0,0,0,0,0.999906023869937,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=M&M\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,M&M,train,9988,,,0,0,0,0,0.999899879855827,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=MARUTI\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,MARUTI,train,11105,,,0,0,0,0,0.99990995047276,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=NESTLEIND\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,NESTLEIND,train,7879,,,0,0,0,0,0.9998730803401447,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=NIFTYBEES\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,NIFTYBEES,train,11228,,,0,0,0,0,0.9998218738867118,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=ONGC\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,ONGC,train,9396,,,0,0,0,0,0.9998935717326521,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=RELIANCE\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,RELIANCE,train,11460,,,0,0,0,0,0.999912739965096,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=SBIN\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,SBIN,train,12206,,,0,0,0,0,0.9999180730788138,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=SUNPHARMA\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,SUNPHARMA,train,9909,,,0,0,0,0,0.9998990816429508,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=TCS\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,TCS,train,16260,,,0,0,0,0,0.9999384993849938,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=TECHM\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,TECHM,train,9552,,,0,0,0,0,0.9998953098827471,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=ULTRACEMCO\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,ULTRACEMCO,train,6526,,,0,0,0,0,0.9998467667790377,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=WIPRO\receive_flow_labels.parquet,ok,1,2026-07-10,NSE,WIPRO,train,10158,,,0,0,0,0,0.9999015554242962,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=ADANIPORTS\receive_flow_labels.parquet,ok,1,2026-07-13,NSE,ADANIPORTS,validation,9454,,,0,0,0,0,0.9998942246668077,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=AXISBANK\receive_flow_labels.parquet,ok,1,2026-07-13,NSE,AXISBANK,validation,10798,,,0,0,0,0,0.9999073902574551,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=BAJAJ-AUTO\receive_flow_labels.parquet,ok,1,2026-07-13,NSE,BAJAJ-AUTO,validation,14299,,,0,0,0,0,0.9999300650395132,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=BANKBEES\receive_flow_labels.parquet,ok,1,2026-07-13,NSE,BANKBEES,validation,13184,,,0,0,0,0,0.9999241504854369,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=BHARTIARTL\receive_flow_labels.parquet,ok,1,2026-07-13,NSE,BHARTIARTL,validation,11539,,,0,0,0,0,0.999913337377589,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=BPCL\receive_flow_labels.parquet,ok,1,2026-07-13,NSE,BPCL,validation,8035,,,0,0,0,0,0.9998755444928438,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=BRITANNIA\receive_flow_labels.parquet,ok,1,2026-07-13,NSE,BRITANNIA,validation,6760,,,0,0,0,0,0.9998520710059171,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=CIPLA\receive_flow_labels.parquet,ok,1,2026-07-13,NSE,CIPLA,validation,8388,,,0,0,0,0,0.9998807820696233,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=DRREDDY\receive_flow_labels.parquet,ok,1,2026-07-13,NSE,DRREDDY,validation,8736,,,0,0,0,0,0.9998855311355311,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=GOLDBEES\receive_flow_labels.parquet,ok,1,2026-07-13,NSE,GOLDBEES,validation,8948,,,0,0,0,0,0.9998882431828342,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=HCLTECH\receive_flow_labels.parquet,ok,1,2026-07-13,NSE,HCLTECH,validation,14297,,,0,0,0,0,0.9999300552563475,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=HDFCBANK\receive_flow_labels.parquet,ok,1,2026-07-13,NSE,HDFCBANK,validation,16566,,,0,0,0,0,0.9999396353978027,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=HINDUNILVR\receive_flow_labels.parquet,ok,1,2026-07-13,NSE,HINDUNILVR,validation,8592,,,0,0,0,0,0.9998836126629422,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=ICICIBANK\receive_flow_labels.parquet,ok,1,2026-07-13,NSE,ICICIBANK,validation,13717,,,0,0,0,0,0.9999270977619013,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=INFY\receive_flow_labels.parquet,ok,1,2026-07-13,NSE,INFY,validation,16207,,,0,0,0,0,0.9999382982661813,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=ITBEES\receive_flow_labels.parquet,ok,1,2026-07-13,NSE,ITBEES,validation,8306,,,0,0,0,0,0.9997592102094871,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=ITC\receive_flow_labels.parquet,ok,1,2026-07-13,NSE,ITC,validation,8758,,,0,0,0,0,0.999885818680064,1
