panel_name,panel_root,symbol,trade_date,sampled_files,sampled_rows,read_errors,valid_l1_book_fraction,first_receive_ms,last_receive_ms,median_gap_ms,p90_gap_ms
l2_multiday_panel,real_data_sample\l2_multiday_panel,RELIANCE,2026-07-09,50,1007,0,0.9980139026812314,1783578354738.0,1783591273852.0,500.0,1001.0
l2_multiday_panel,real_data_sample\l2_multiday_panel,SBIN,2026-07-09,50,897,0,0.9977703455964325,1783578354738.0,1783591273851.0,500.0,1750.0
l2_multiday_panel,real_data_sample\l2_multiday_panel,SUNPHARMA,2026-07-09,50,730,0,0.9972602739726028,1783578354738.0,1783591273852.0,500.0,2310.600000000003
l2_multiday_panel,real_data_sample\l2_multiday_panel,TCS,2026-07-09,50,904,0,0.9977876106194691,1783578354738.0,1783591273851.0,500.0,1751.0
l2_multiday_panel,real_data_sample\l2_multiday_panel,TECHM,2026-07-09,50,361,0,0.9944598337950139,1783578354738.0,1783591274477.0,1250.0,250050.80000000002
l2_multiday_panel,real_data_sample\l2_multiday_panel,ULTRACEMCO,2026-07-09,50,262,0,0.9923664122137404,1783578354738.0,1783591273851.0,2001.0,252153.0
l2_multiday_panel,real_data_sample\l2_multiday_panel,WIPRO,2026-07-09,50,513,0,0.9961013645224172,1783578354738.0,1783591273852.0,756.0,5102.200000000023
l2_multiday_panel,real_data_sample\l2_multiday_panel,ADANIPORTS,2026-07-13,50,426,0,0.9976525821596244,1783914093966.0,1783936900961.0,1000.0,440110.0
l2_multiday_panel,real_data_sample\l2_multiday_panel,AXISBANK,2026-07-13,50,476,0,0.9978991596638656,1783914093966.0,1783936869060.0,750.0,434613.80000000005
l2_multiday_panel,real_data_sample\l2_multiday_panel,BAJAJ-AUTO,2026-07-13,50,818,0,0.9987775061124694,1783914093966.0,1783936869461.0,500.0,1250.0
l2_multiday_panel,real_data_sample\l2_multiday_panel,BANKBEES,2026-07-13,50,621,0,0.998389694041868,1783914311961.0,1783936885837.0,1000.0,2750.0
l2_multiday_panel,real_data_sample\l2_multiday_panel,BHARTIARTL,2026-07-13,50,544,0,0.9981617647058824,1783914093966.0,1783936900961.0,750.0,3999.8
l2_multiday_panel,real_data_sample\l2_multiday_panel,BPCL,2026-07-13,50,308,0,0.9967532467532467,1783914093966.0,1783936869060.0,1750.0,448954.0
l2_multiday_panel,real_data_sample\l2_multiday_panel,BRITANNIA,2026-07-13,50,275,0,0.9963636363636363,1783914093966.0,1783936870211.0,1750.0,450076.7
l2_multiday_panel,real_data_sample\l2_multiday_panel,CIPLA,2026-07-13,50,324,0,0.9969135802469136,1783914093966.0,1783936900961.0,1500.0,448705.80000000005
l2_multiday_panel,real_data_sample\l2_multiday_panel,DRREDDY,2026-07-13,50,327,0,0.9969418960244648,1783914093966.0,1783936869211.0,1749.0,448010.5
l2_multiday_panel,real_data_sample\l2_multiday_panel,GOLDBEES,2026-07-13,50,402,0,0.9950248756218906,1783914310711.0,1783936882210.0,1000.0,439511.0
l2_multiday_panel,real_data_sample\l2_multiday_panel,HCLTECH,2026-07-13,50,879,0,0.9988623435722411,1783914093966.0,1783936869211.0,500.0,1249.0
l2_multiday_panel,real_data_sample\l2_multiday_panel,HDFCBANK,2026-07-13,50,1115,0,0.9991031390134529,1783914093966.0,1783936869060.0,499.5,1000.0
l2_multiday_panel,real_data_sample\l2_multiday_panel,HINDUNILVR,2026-07-13,50,387,0,0.9974160206718347,1783914093966.0,1783936869060.0,1000.0,443579.0
l2_multiday_panel,real_data_sample\l2_multiday_panel,ICICIBANK,2026-07-13,50,799,0,0.9987484355444305,1783914093966.0,1783936869060.0,500.0,2000.0
l2_multiday_panel,real_data_sample\l2_multiday_panel,INFY,2026-07-13,50,1062,0,0.9990583804143126,1783914093966.0,1783936869211.0,500.0,1000.0
l2_multiday_panel,real_data_sample\l2_multiday_panel,ITBEES,2026-07-13,50,350,0,0.9942857142857143,1783914310462.0,1783936882210.0,1250.0,446457.0
l2_multiday_panel,real_data_sample\l2_multiday_panel,ITC,2026-07-13,50,370,0,0.9972972972972973,1783914093966.0,1783936869211.0,1258.0,445092.39999999997
l2_multiday_panel,real_data_sample\l2_multiday_panel,JUNIORBEES,2026-07-13,50,527,0,0.9962049335863378,1783914310462.0,1783936882210.0,999.0,4873.5
l2_multiday_panel,real_data_sample\l2_multiday_panel,KOTAKBANK,2026-07-13,50,488,0,0.9979508196721312,1783914093966.0,1783936869060.0,750.0,177198.40000001455
l2_multiday_panel,real_data_sample\l2_multiday_panel,LT,2026-07-13,50,596,0,0.9983221476510067,1783914093966.0,1783936869211.0,749.0,3841.6000000000035
l2_multiday_panel,real_data_sample\l2_multiday_panel,M&M,2026-07-13,50,841,0,0.9988109393579072,1783914093966.0,1783936900961.0,500.0,1250.0
l2_multiday_panel,real_data_sample\l2_multiday_panel,MARUTI,2026-07-13,50,827,0,0.9987908101571947,1783914093966.0,1783936869060.0,749.0,1250.0
l2_multiday_panel,real_data_sample\l2_multiday_panel,NESTLEIND,2026-07-13,50,389,0,0.9974293059125964,1783914093966.0,1783936870211.0,1000.0,443692.3
l2_multiday_panel,real_data_sample\l2_multiday_panel,NIFTYBEES,2026-07-13,50,738,0,0.997289972899729,1783914310711.0,1783936882210.0,501.0,2397.399999999997
l2_multiday_panel,real_data_sample\l2_multiday_panel,ONGC,2026-07-13,50,561,0,0.9982174688057041,1783914093966.0,1783936869211.0,749.0,4101.400000000003
l2_multiday_panel,real_data_sample\l2_multiday_panel,RELIANCE,2026-07-13,50,799,0,0.9987484355444305,1783914093966.0,1783936868460.0,500.0,2191.9000000000055
l2_multiday_panel,real_data_sample\l2_multiday_panel,SBIN,2026-07-13,50,865,0,0.9988439306358381,1783914093966.0,1783936869060.0,500.0,1750.0
l2_multiday_panel,real_data_sample\l2_multiday_panel,SUNPHARMA,2026-07-13,50,452,0,0.9977876106194691,1783914093966.0,1783936869060.0,751.0,437557.0
l2_multiday_panel,real_data_sample\l2_multiday_panel,TCS,2026-07-13,50,1154,0,0.9991334488734835,1783914093966.0,1783936868460.0,499.0,1000.0
l2_multiday_panel,real_data_sample\l2_multiday_panel,TECHM,2026-07-13,50,636,0,0.9984276729559748,1783914093966.0,1783936869060.0,501.0,3500.0
l2_multiday_panel,real_data_sample\l2_multiday_panel,ULTRACEMCO,2026-07-13,50,254,0,0.9960629921259843,1783914093966.0,1783936870211.0,2171.0,451219.4
l2_multiday_panel,real_data_sample\l2_multiday_panel,WIPRO,2026-07-13,50,627,0,0.9984051036682615,1783914093966.0,1783936869060.0,501.0,3491.0
l2_single_day,real_data_sample\l2_single_day,ADANIPORTS,2026-07-13,50,426,0,0.9976525821596244,1783914093966.0,1783936900961.0,1000.0,440110.0
l2_single_day,real_data_sample\l2_single_day,AXISBANK,2026-07-13,50,476,0,0.9978991596638656,1783914093966.0,1783936869060.0,750.0,434613.80000000005
l2_single_day,real_data_sample\l2_single_day,BAJAJ-AUTO,2026-07-13,50,818,0,0.9987775061124694,1783914093966.0,1783936869461.0,500.0,1250.0
l2_single_day,real_data_sample\l2_single_day,BANKBEES,2026-07-13,50,621,0,0.998389694041868,1783914311961.0,1783936885837.0,1000.0,2750.0
l2_single_day,real_data_sample\l2_single_day,BHARTIARTL,2026-07-13,50,544,0,0.9981617647058824,1783914093966.0,1783936900961.0,750.0,3999.8
l2_single_day,real_data_sample\l2_single_day,BPCL,2026-07-13,50,308,0,0.9967532467532467,1783914093966.0,1783936869060.0,1750.0,448954.0
l2_single_day,real_data_sample\l2_single_day,BRITANNIA,2026-07-13,50,275,0,0.9963636363636363,1783914093966.0,1783936870211.0,1750.0,450076.7
l2_single_day,real_data_sample\l2_single_day,CIPLA,2026-07-13,50,324,0,0.9969135802469136,1783914093966.0,1783936900961.0,1500.0,448705.80000000005
l2_single_day,real_data_sample\l2_single_day,DRREDDY,2026-07-13,50,327,0,0.9969418960244648,1783914093966.0,1783936869211.0,1749.0,448010.5
l2_single_day,real_data_sample\l2_single_day,GOLDBEES,2026-07-13,50,402,0,0.9950248756218906,1783914310711.0,1783936882210.0,1000.0,439511.0
l2_single_day,real_data_sample\l2_single_day,HCLTECH,2026-07-13,50,879,0,0.9988623435722411,1783914093966.0,1783936869211.0,500.0,1249.0
l2_single_day,real_data_sample\l2_single_day,HDFCBANK,2026-07-13,50,1115,0,0.9991031390134529,1783914093966.0,1783936869060.0,499.5,1000.0
l2_single_day,real_data_sample\l2_single_day,HINDUNILVR,2026-07-13,50,387,0,0.9974160206718347,1783914093966.0,1783936869060.0,1000.0,443579.0
l2_single_day,real_data_sample\l2_single_day,ICICIBANK,2026-07-13,50,799,0,0.9987484355444305,1783914093966.0,1783936869060.0,500.0,2000.0
l2_single_day,real_data_sample\l2_single_day,INFY,2026-07-13,50,1062,0,0.9990583804143126,1783914093966.0,1783936869211.0,500.0,1000.0
l2_single_day,real_data_sample\l2_single_day,ITBEES,2026-07-13,50,350,0,0.9942857142857143,1783914310462.0,1783936882210.0,1250.0,446457.0
l2_single_day,real_data_sample\l2_single_day,ITC,2026-07-13,50,370,0,0.9972972972972973,1783914093966.0,1783936869211.0,1258.0,445092.39999999997
l2_single_day,real_data_sample\l2_single_day,JUNIORBEES,2026-07-13,50,527,0,0.9962049335863378,1783914310462.0,1783936882210.0,999.0,4873.5
l2_single_day,real_data_sample\l2_single_day,KOTAKBANK,2026-07-13,50,488,0,0.9979508196721312,1783914093966.0,1783936869060.0,750.0,177198.40000001455
l2_single_day,real_data_sample\l2_single_day,LT,2026-07-13,50,596,0,0.9983221476510067,1783914093966.0,1783936869211.0,749.0,3841.6000000000035
l2_single_day,real_data_sample\l2_single_day,M&M,2026-07-13,50,841,0,0.9988109393579072,1783914093966.0,1783936900961.0,500.0,1250.0
l2_single_day,real_data_sample\l2_single_day,MARUTI,2026-07-13,50,827,0,0.9987908101571947,1783914093966.0,1783936869060.0,749.0,1250.0
l2_single_day,real_data_sample\l2_single_day,NESTLEIND,2026-07-13,50,389,0,0.9974293059125964,1783914093966.0,1783936870211.0,1000.0,443692.3
l2_single_day,real_data_sample\l2_single_day,NIFTYBEES,2026-07-13,50,738,0,0.997289972899729,1783914310711.0,1783936882210.0,501.0,2397.399999999997
l2_single_day,real_data_sample\l2_single_day,ONGC,2026-07-13,50,561,0,0.9982174688057041,1783914093966.0,1783936869211.0,749.0,4101.400000000003
l2_single_day,real_data_sample\l2_single_day,RELIANCE,2026-07-13,50,799,0,0.9987484355444305,1783914093966.0,1783936868460.0,500.0,2191.9000000000055
l2_single_day,real_data_sample\l2_single_day,SBIN,2026-07-13,50,865,0,0.9988439306358381,1783914093966.0,1783936869060.0,500.0,1750.0
l2_single_day,real_data_sample\l2_single_day,SUNPHARMA,2026-07-13,50,452,0,0.9977876106194691,1783914093966.0,1783936869060.0,751.0,437557.0
l2_single_day,real_data_sample\l2_single_day,TCS,2026-07-13,50,1154,0,0.9991334488734835,1783914093966.0,1783936868460.0,499.0,1000.0
l2_single_day,real_data_sample\l2_single_day,TECHM,2026-07-13,50,636,0,0.9984276729559748,1783914093966.0,1783936869060.0,501.0,3500.0
l2_single_day,real_data_sample\l2_single_day,ULTRACEMCO,2026-07-13,50,254,0,0.9960629921259843,1783914093966.0,1783936870211.0,2171.0,451219.4
l2_single_day,real_data_sample\l2_single_day,WIPRO,2026-07-13,50,627,0,0.9984051036682615,1783914093966.0,1783936869060.0,501.0,3491.0
