template_id,columns,cell_key,side,horizon_events,discovery_trades,discovery_net_pnl_inr,discovery_precision_cost_clear,discovery_symbols,discovery_shards,discovery_positive_symbol_fraction,discovery_positive_shard_fraction,discovery_stable,relaxation_radius,validation_trades,validation_net_pnl_inr,validation_gross_pnl_proxy_inr,validation_cost_pnl_drag_proxy_inr,validation_precision_cost_clear,validation_symbols,validation_shards,validation_positive_symbol_fraction,validation_positive_shard_fraction,validation_positive_after_costs,phase59_scale_candidate,has_validation_trades
all_core_interaction,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,abs_ret_bin=6|micro_bin=5|imb_bin=5|spread_bin=4|depth_bin=4,1,100,876,295445.9381240238,0.228310502283105,1,1,1.0,1.0,False,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,False,False
all_core_interaction,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,abs_ret_bin=6|micro_bin=5|imb_bin=5|spread_bin=4|depth_bin=4,1,50,876,94814.89109638084,0.1141552511415525,1,1,1.0,1.0,False,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,False,False
all_core_interaction,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,abs_ret_bin=6|micro_bin=5|imb_bin=5|spread_bin=4|depth_bin=4,1,50,876,94814.89109638084,0.1141552511415525,1,1,1.0,1.0,False,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,False,False
absret_imb_spread,abs_ret_bin;imb_bin;spread_bin,abs_ret_bin=6|imb_bin=6|spread_bin=3,-1,100,416,81699.50918070674,0.2403846153846154,1,1,1.0,1.0,False,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,False,False
all_core_interaction,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,abs_ret_bin=6|micro_bin=6|imb_bin=6|spread_bin=3|depth_bin=5,-1,100,416,81699.50918070674,0.2403846153846154,1,1,1.0,1.0,False,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,False,False
all_core_interaction,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,abs_ret_bin=6|micro_bin=6|imb_bin=6|spread_bin=3|depth_bin=5,-1,100,416,81699.50918070674,0.2403846153846154,1,1,1.0,1.0,False,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,False,False
absret_imb_spread,abs_ret_bin;imb_bin;spread_bin,abs_ret_bin=7|imb_bin=7|spread_bin=5,1,100,942,57263.51254553717,0.3184713375796178,1,1,1.0,1.0,False,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,False,False
absret_spread_depth,abs_ret_bin;spread_bin;depth_bin,abs_ret_bin=7|spread_bin=5|depth_bin=3,1,100,624,32622.297914462055,0.32051282051282054,1,1,1.0,1.0,False,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,False,False
all_core_interaction,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,abs_ret_bin=7|micro_bin=7|imb_bin=7|spread_bin=5|depth_bin=3,1,100,624,32622.297914462055,0.32051282051282054,1,1,1.0,1.0,False,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,False,False
all_core_interaction,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,abs_ret_bin=7|micro_bin=7|imb_bin=7|spread_bin=5|depth_bin=3,1,100,624,32622.297914462055,0.32051282051282054,1,1,1.0,1.0,False,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,False,False
absret_spread_depth,abs_ret_bin;spread_bin;depth_bin,abs_ret_bin=7|spread_bin=5|depth_bin=2,1,100,318,24641.21463107513,0.31446540880503143,1,1,1.0,1.0,False,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,False,False
all_core_interaction,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,abs_ret_bin=7|micro_bin=7|imb_bin=7|spread_bin=5|depth_bin=2,1,100,318,24641.21463107513,0.31446540880503143,1,1,1.0,1.0,False,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,False,False
all_core_interaction,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,abs_ret_bin=7|micro_bin=7|imb_bin=7|spread_bin=5|depth_bin=2,1,100,318,24641.21463107513,0.31446540880503143,1,1,1.0,1.0,False,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,False,False
absret_imb_spread,abs_ret_bin;imb_bin;spread_bin,abs_ret_bin=6|imb_bin=6|spread_bin=3,-1,50,416,15816.900011590573,0.1201923076923077,1,1,1.0,1.0,False,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,False,False
all_core_interaction,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,abs_ret_bin=6|micro_bin=6|imb_bin=6|spread_bin=3|depth_bin=5,-1,50,416,15816.900011590573,0.1201923076923077,1,1,1.0,1.0,False,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,False,False
all_core_interaction,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,abs_ret_bin=6|micro_bin=6|imb_bin=6|spread_bin=3|depth_bin=5,-1,50,416,15816.900011590573,0.1201923076923077,1,1,1.0,1.0,False,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,False,False
all_core_interaction,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,abs_ret_bin=5|micro_bin=1|imb_bin=2|spread_bin=0|depth_bin=2,-1,100,138,4093.6137619400224,0.5,1,1,1.0,1.0,False,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,False,False
all_core_interaction,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,abs_ret_bin=5|micro_bin=1|imb_bin=2|spread_bin=0|depth_bin=2,-1,100,138,4093.6137619400224,0.5,1,1,1.0,1.0,False,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,False,False
all_core_interaction,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,abs_ret_bin=5|micro_bin=2|imb_bin=3|spread_bin=1|depth_bin=6,1,100,256,1175.9054297196592,0.390625,1,1,1.0,1.0,False,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,False,False
all_core_interaction,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,abs_ret_bin=5|micro_bin=2|imb_bin=3|spread_bin=1|depth_bin=6,1,100,256,1175.9054297196592,0.390625,1,1,1.0,1.0,False,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,False,False
